['1/200', '0.962596', '0.037404', '0.033062', '0.950766', '0.049234', '0.042569', '0:02:25']
['2/200', '0.948578', '0.051421', '0.038832', '0.934831', '0.065169', '0.048792', '0:02:22']
['3/200', '0.939169', '0.061238', '0.049645', '0.927428', '0.072769', '0.061982', '0:02:21']
['4/200', '0.926679', '0.073725', '0.064341', '0.912611', '0.087655', '0.080090', '0:02:21']
['5/200', '0.911608', '0.088965', '0.077127', '0.906856', '0.093854', '0.092444', '0:02:21']
['6/200', '0.885071', '0.115571', '0.099300', '0.894098', '0.107965', '0.114967', '0:02:21']
['7/200', '0.846767', '0.153928', '0.131222', '0.873906', '0.127750', '0.143972', '0:02:21']
['8/200', '0.799202', '0.201514', '0.172075', '0.763980', '0.236978', '0.155499', '0:02:21']
['9/200', '0.784753', '0.216074', '0.184758', '0.658798', '0.341577', '0.298778', '0:02:22']
['10/200', '0.752430', '0.248179', '0.224678', '0.976473', '0.024855', '0.248114', '0:02:21']
['11/200', '0.724585', '0.275897', '0.251515', '0.756002', '0.244529', '0.345928', '0:02:21']
['12/200', '0.722324', '0.278318', '0.260697', '0.571949', '0.428585', '0.374761', '0:02:21']
['13/200', '0.715292', '0.285259', '0.270449', '0.992378', '0.007648', '0.039889', '0:02:21']
['14/200', '0.733833', '0.266788', '0.249743', '0.617706', '0.383056', '0.352781', '0:02:22']
['15/200', '0.714842', '0.285840', '0.275080', '0.615571', '0.384960', '0.383670', '0:02:21']
['16/200', '0.697724', '0.302799', '0.292399', '0.546508', '0.453835', '0.433626', '0:02:21']
['17/200', '0.706934', '0.293513', '0.284780', '0.643169', '0.358528', '0.390897', '0:02:21']
['18/200', '0.714237', '0.286272', '0.280228', '0.580507', '0.420633', '0.374359', '0:02:21']
['19/200', '0.714230', '0.286227', '0.280629', '0.606216', '0.394766', '0.385406', '0:02:21']
['20/200', '0.704457', '0.296186', '0.289341', '0.622047', '0.378371', '0.360685', '0:02:22']
['21/200', '0.680896', '0.319586', '0.313579', '0.621198', '0.380109', '0.349129', '0:02:21']
['22/200', '0.685351', '0.315490', '0.305879', '0.497107', '0.503166', '0.483849', '0:02:21']
['23/200', '0.678531', '0.321896', '0.317411', '0.606201', '0.394149', '0.365691', '0:02:21']
['24/200', '0.674217', '0.326132', '0.319331', '0.630356', '0.370290', '0.352247', '0:02:21']
