['129/200', '0.525718', '0.405346', '0:00:21']
['130/200', '0.525568', '0.423158', '0:00:21']
['131/200', '0.520712', '0.402718', '0:00:21']
['132/200', '0.521364', '0.367106', '0:00:21']
['133/200', '0.526744', '0.408822', '0:00:21']
['134/200', '0.509495', '0.387061', '0:00:21']
['135/200', '0.513576', '0.406192', '0:00:21']
['136/200', '0.526567', '0.392424', '0:00:21']
['137/200', '0.519674', '0.372062', '0:00:21']
['138/200', '0.517499', '0.380002', '0:00:21']
['139/200', '0.499947', '0.379679', '0:00:21']
['140/200', '0.503587', '0.374196', '0:00:21']
['141/200', '0.511287', '0.393504', '0:00:21']
['142/200', '0.497985', '0.371714', '0:00:21']
['143/200', '0.507140', '0.385675', '0:00:21']
['144/200', '0.511561', '0.372034', '0:00:21']
['145/200', '0.501050', '0.377353', '0:00:21']
['146/200', '0.490424', '0.363697', '0:00:21']
['147/200', '0.501447', '0.381029', '0:00:21']
['148/200', '0.503327', '0.388657', '0:00:21']
['149/200', '0.488460', '0.376401', '0:00:21']
['150/200', '0.510444', '0.361700', '0:00:21']
['151/200', '0.497026', '0.385075', '0:00:21']
['152/200', '0.508152', '0.352936', '0:00:21']
['153/200', '0.505717', '0.357367', '0:00:22']
['154/200', '0.501994', '0.385022', '0:00:21']
['155/200', '0.504075', '0.373099', '0:00:21']
['156/200', '0.496244', '0.339773', '0:00:21']
['157/200', '0.487324', '0.348239', '0:00:21']
['158/200', '0.490084', '0.341963', '0:00:21']
['159/200', '0.496647', '0.353336', '0:00:21']
['160/200', '0.492392', '0.353470', '0:00:21']
['161/200', '0.499554', '0.363355', '0:00:21']
['162/200', '0.492969', '0.353662', '0:00:21']
['163/200', '0.478651', '0.368869', '0:00:21']
['164/200', '0.497180', '0.345210', '0:00:21']
['165/200', '0.489089', '0.356403', '0:00:21']
['166/200', '0.493223', '0.337720', '0:00:21']
['167/200', '0.488199', '0.339493', '0:00:21']
['168/200', '0.504699', '0.340550', '0:00:21']
['169/200', '0.490591', '0.350395', '0:00:21']
['170/200', '0.488994', '0.346819', '0:00:21']
['171/200', '0.493058', '0.358392', '0:00:21']
['172/200', '0.474630', '0.353989', '0:00:21']
['173/200', '0.479051', '0.342790', '0:00:21']
['174/200', '0.489482', '0.342232', '0:00:21']
['175/200', '0.477376', '0.338157', '0:00:21']
['176/200', '0.488265', '0.328796', '0:00:21']
['177/200', '0.472625', '0.340862', '0:00:21']
['178/200', '0.488119', '0.335689', '0:00:21']
['179/200', '0.479690', '0.342432', '0:00:21']
['180/200', '0.486173', '0.339990', '0:00:21']
['181/200', '0.485386', '0.334703', '0:00:21']
['182/200', '0.480244', '0.344087', '0:00:21']
['183/200', '0.476415', '0.344338', '0:00:21']
['184/200', '0.488305', '0.354617', '0:00:21']
['185/200', '0.491217', '0.351427', '0:00:21']
['186/200', '0.473620', '0.345779', '0:00:21']
['187/200', '0.484509', '0.337460', '0:00:21']
['188/200', '0.485227', '0.342005', '0:00:21']
['189/200', '0.470077', '0.332973', '0:00:21']
['190/200', '0.484775', '0.346913', '0:00:21']
['191/200', '0.479433', '0.341478', '0:00:21']
['192/200', '0.477252', '0.326947', '0:00:21']
['193/200', '0.476083', '0.350350', '0:00:21']
['194/200', '0.476841', '0.342040', '0:00:21']
['195/200', '0.468121', '0.337119', '0:00:21']
['196/200', '0.476987', '0.338741', '0:00:21']
['197/200', '0.478669', '0.328534', '0:00:21']
['198/200', '0.485522', '0.355435', '0:00:21']
['199/200', '0.470144', '0.345921', '0:00:21']
['200/200', '0.474481', '0.338798', '0:00:21']
