['1/200', '0.958200', '0.041800', '0.037715', '0.939753', '0.060247', '0.051893', '0:01:02']
['2/200', '0.941658', '0.058341', '0.050980', '0.924539', '0.075461', '0.068533', '0:00:57']
['3/200', '0.927566', '0.072601', '0.064763', '0.924518', '0.075656', '0.067378', '0:00:57']
['4/200', '0.907816', '0.092355', '0.082938', '0.887759', '0.112456', '0.104865', '0:00:57']
['5/200', '0.882630', '0.117629', '0.105619', '0.845145', '0.155101', '0.143198', '0:00:58']
['6/200', '0.840667', '0.159638', '0.141306', '0.864868', '0.135415', '0.131805', '0:00:58']
['7/200', '0.797058', '0.203261', '0.181686', '0.741014', '0.259474', '0.249213', '0:00:58']
['8/200', '0.764772', '0.235478', '0.216956', '0.790492', '0.211430', '0.285802', '0:00:58']
['9/200', '0.745266', '0.254990', '0.241234', '0.860411', '0.140652', '0.180302', '0:00:58']
['10/200', '0.727060', '0.273142', '0.263691', '0.599167', '0.400998', '0.398592', '0:00:58']
['11/200', '0.720666', '0.279593', '0.273038', '0.668516', '0.331987', '0.324778', '0:00:58']
['12/200', '0.717065', '0.283204', '0.274901', '0.710284', '0.290497', '0.300594', '0:00:58']
['13/200', '0.707415', '0.292819', '0.288259', '0.606931', '0.394418', '0.357614', '0:00:57']
['14/200', '0.719320', '0.280917', '0.276474', '0.623343', '0.377050', '0.379898', '0:00:57']
['15/200', '0.723951', '0.276306', '0.273899', '0.747614', '0.253608', '0.250037', '0:00:58']
['16/200', '0.707899', '0.292306', '0.288115', '0.594049', '0.406000', '0.386308', '0:00:58']
['17/200', '0.701649', '0.298592', '0.296832', '0.679856', '0.320530', '0.329244', '0:00:58']
['18/200', '0.683020', '0.317169', '0.313380', '0.553570', '0.446599', '0.431381', '0:00:58']
['19/200', '0.693733', '0.306451', '0.304749', '0.594382', '0.405942', '0.406748', '0:00:57']
['20/200', '0.705959', '0.294299', '0.292718', '0.760158', '0.240251', '0.091044', '0:00:58']
['21/200', '0.691535', '0.308738', '0.305530', '0.571488', '0.428722', '0.423799', '0:00:57']
['22/200', '0.691094', '0.309151', '0.306730', '0.623883', '0.376411', '0.379292', '0:00:58']
['23/200', '0.680924', '0.319301', '0.315684', '0.559614', '0.440631', '0.423350', '0:00:57']
['24/200', '0.666398', '0.333849', '0.330501', '0.549316', '0.450845', '0.439960', '0:00:58']
['25/200', '0.680141', '0.320089', '0.318540', '0.563639', '0.436562', '0.441645', '0:00:58']
['26/200', '0.671369', '0.328871', '0.323935', '0.526898', '0.473380', '0.437340', '0:00:58']
['27/200', '0.690465', '0.309808', '0.305706', '0.652237', '0.349217', '0.322749', '0:00:58']
['28/200', '0.675348', '0.324908', '0.322203', '0.520096', '0.480552', '0.460165', '0:00:58']
['29/200', '0.657176', '0.343012', '0.342013', '0.548692', '0.451628', '0.439277', '0:00:58']
['30/200', '0.652666', '0.347532', '0.345588', '0.632761', '0.368044', '0.364809', '0:00:58']
['31/200', '0.656037', '0.344174', '0.342193', '0.557220', '0.442955', '0.447653', '0:00:58']
['32/200', '0.660772', '0.339458', '0.336367', '0.545852', '0.454357', '0.459566', '0:00:58']
['33/200', '0.678747', '0.321510', '0.320551', '0.550343', '0.449966', '0.445796', '0:00:57']
['34/200', '0.663211', '0.337110', '0.335873', '0.604819', '0.395821', '0.402844', '0:00:58']
['35/200', '0.659727', '0.340589', '0.337473', '0.480940', '0.519336', '0.509739', '0:00:58']
['36/200', '0.649822', '0.350481', '0.348202', '0.465345', '0.534897', '0.541219', '0:00:58']
['37/200', '0.646075', '0.354241', '0.351924', '0.517807', '0.482512', '0.472400', '0:00:58']
['38/200', '0.651869', '0.348447', '0.345331', '0.616773', '0.383897', '0.377017', '0:00:58']
['39/200', '0.649677', '0.350596', '0.348351', '0.514553', '0.485983', '0.498273', '0:00:58']
['40/200', '0.644918', '0.355378', '0.352808', '0.624031', '0.376176', '0.361802', '0:00:58']
['41/200', '0.637281', '0.363058', '0.361333', '0.526998', '0.473210', '0.465187', '0:00:57']
['42/200', '0.633172', '0.367190', '0.364610', '0.541707', '0.458677', '0.460252', '0:00:58']
['43/200', '0.639811', '0.360572', '0.358526', '0.502649', '0.497675', '0.488758', '0:00:58']
['44/200', '0.638619', '0.361784', '0.359318', '0.572100', '0.428388', '0.429440', '0:00:58']
['45/200', '0.636139', '0.364209', '0.362328', '0.565918', '0.434415', '0.413397', '0:00:57']
['46/200', '0.635321', '0.365068', '0.362288', '0.570131', '0.430357', '0.428154', '0:00:58']
['47/200', '0.628319', '0.372074', '0.369755', '0.600829', '0.401469', '0.381243', '0:00:58']
['48/200', '0.632043', '0.368312', '0.365531', '0.597921', '0.402316', '0.367938', '0:00:58']
['49/200', '0.631058', '0.369363', '0.366253', '0.545163', '0.455231', '0.452609', '0:00:58']
['50/200', '0.611165', '0.389275', '0.385806', '0.571401', '0.429647', '0.431632', '0:00:58']
['51/200', '0.618091', '0.382356', '0.378122', '0.560535', '0.440191', '0.448561', '0:00:58']
['52/200', '0.627432', '0.373108', '0.371106', '0.581158', '0.420752', '0.419531', '0:00:58']
['53/200', '0.617943', '0.382564', '0.380094', '0.510347', '0.489942', '0.482889', '0:00:58']
['54/200', '0.614543', '0.385893', '0.382446', '0.593379', '0.407097', '0.399524', '0:00:58']
['55/200', '0.627508', '0.373169', '0.370904', '0.555374', '0.446087', '0.444785', '0:00:58']
['56/200', '0.620586', '0.379891', '0.378509', '0.550277', '0.450241', '0.435119', '0:00:58']
['57/200', '0.616881', '0.383700', '0.379743', '0.615232', '0.385997', '0.380697', '0:01:00']
['58/200', '0.615853', '0.384816', '0.383608', '0.548466', '0.451898', '0.443920', '0:00:58']
['59/200', '0.610563', '0.390061', '0.387776', '0.578710', '0.422466', '0.417043', '0:00:58']
['60/200', '0.613984', '0.386531', '0.382623', '0.492600', '0.508036', '0.497113', '0:00:57']
['61/200', '0.617572', '0.383002', '0.379748', '0.596503', '0.403897', '0.398119', '0:00:58']
['62/200', '0.607229', '0.393371', '0.389810', '0.545520', '0.455241', '0.454610', '0:00:58']
['63/200', '0.611144', '0.389522', '0.385463', '0.583260', '0.417931', '0.411035', '0:00:58']
['64/200', '0.610786', '0.389846', '0.385239', '0.553322', '0.447538', '0.439346', '0:00:58']
['65/200', '0.606958', '0.393635', '0.388917', '0.481382', '0.519668', '0.467455', '0:00:58']
['66/200', '0.593833', '0.406796', '0.402693', '0.697158', '0.303029', '0.287500', '0:00:58']
['67/200', '0.597669', '0.402883', '0.398870', '0.530655', '0.469894', '0.464685', '0:00:57']
['68/200', '0.601784', '0.399064', '0.395810', '0.546027', '0.454699', '0.447143', '0:00:58']
['69/200', '0.585987', '0.414684', '0.410379', '0.473183', '0.527605', '0.521383', '0:00:58']
['70/200', '0.595097', '0.405647', '0.399715', '0.552165', '0.448809', '0.451223', '0:00:58']
['71/200', '0.601561', '0.399164', '0.394369', '0.579931', '0.420894', '0.390235', '0:00:58']
['72/200', '0.581099', '0.419606', '0.415004', '0.523733', '0.476907', '0.472301', '0:00:58']
['73/200', '0.599969', '0.400814', '0.396450', '0.470751', '0.529632', '0.521346', '0:00:58']
['74/200', '0.583234', '0.417508', '0.413768', '0.556001', '0.444808', '0.444660', '0:00:58']
['75/200', '0.586455', '0.414252', '0.411483', '0.514654', '0.486841', '0.476168', '0:00:58']
['76/200', '0.589129', '0.411941', '0.405606', '0.507981', '0.493391', '0.488058', '0:00:58']
['77/200', '0.588254', '0.412627', '0.406720', '0.503143', '0.497929', '0.491009', '0:00:58']
['78/200', '0.586626', '0.414359', '0.411269', '0.484203', '0.517691', '0.523397', '0:00:58']
['79/200', '0.576416', '0.424483', '0.420469', '0.471682', '0.528950', '0.530217', '0:00:58']
['80/200', '0.581709', '0.419103', '0.414331', '0.487928', '0.512954', '0.504245', '0:00:58']
['81/200', '0.593788', '0.407302', '0.403039', '0.453301', '0.547560', '0.539082', '0:00:58']
['82/200', '0.583944', '0.417058', '0.412322', '0.523133', '0.478120', '0.478573', '0:00:58']
['83/200', '0.581036', '0.419959', '0.415067', '0.526959', '0.475589', '0.462051', '0:00:58']
['84/200', '0.569000', '0.431877', '0.426524', '0.429316', '0.571278', '0.565604', '0:00:58']
['85/200', '0.566345', '0.434731', '0.429172', '0.512631', '0.488760', '0.483286', '0:00:57']
['86/200', '0.557469', '0.443505', '0.437414', '0.502340', '0.499704', '0.486901', '0:00:58']
['87/200', '0.571592', '0.429501', '0.422423', '0.446589', '0.554549', '0.538964', '0:00:57']
['88/200', '0.580224', '0.420871', '0.416772', '0.486955', '0.514180', '0.501888', '0:00:59']
['89/200', '0.582274', '0.418954', '0.413830', '0.445580', '0.556282', '0.540816', '0:00:58']
['90/200', '0.553723', '0.447661', '0.440764', '0.491542', '0.510071', '0.502976', '0:00:58']
['91/200', '0.550082', '0.451023', '0.443077', '0.414174', '0.587402', '0.572741', '0:00:57']
['92/200', '0.556333', '0.444803', '0.438036', '0.478805', '0.523157', '0.515356', '0:00:57']
['93/200', '0.561739', '0.439535', '0.434386', '0.445030', '0.556062', '0.554220', '0:00:58']
['94/200', '0.566239', '0.434999', '0.430239', '0.417985', '0.583266', '0.571455', '0:00:58']
['95/200', '0.566768', '0.434534', '0.428764', '0.518957', '0.483107', '0.475651', '0:00:57']
['96/200', '0.563907', '0.437351', '0.430913', '0.461090', '0.540314', '0.527941', '0:00:57']
['97/200', '0.554043', '0.447116', '0.437834', '0.461178', '0.541218', '0.505171', '0:00:58']
['98/200', '0.552917', '0.448361', '0.443004', '0.434877', '0.566418', '0.553643', '0:00:58']
['99/200', '0.555083', '0.446131', '0.437453', '0.396033', '0.605178', '0.604285', '0:00:58']
['100/200', '0.556542', '0.444886', '0.439535', '0.497804', '0.504208', '0.504339', '0:00:58']
['101/200', '0.529033', '0.472370', '0.463309', '0.402959', '0.598474', '0.572831', '0:00:58']
['102/200', '0.538829', '0.462397', '0.457103', '0.469803', '0.531899', '0.522023', '0:00:57']
['103/200', '0.551278', '0.450397', '0.440331', '0.439454', '0.563126', '0.542494', '0:00:58']
['104/200', '0.550919', '0.450534', '0.443901', '0.461526', '0.539860', '0.532463', '0:00:57']
['105/200', '0.542865', '0.458536', '0.453370', '0.405750', '0.595582', '0.584260', '0:00:59']
['106/200', '0.537478', '0.464010', '0.457189', '0.419366', '0.582289', '0.577148', '0:00:58']
['107/200', '0.541223', '0.460281', '0.452710', '0.465442', '0.536785', '0.524641', '0:00:57']
['108/200', '0.543649', '0.457988', '0.450476', '0.471575', '0.530758', '0.519671', '0:00:58']
['109/200', '0.540692', '0.460884', '0.452753', '0.450968', '0.551393', '0.545331', '0:00:57']
['110/200', '0.531290', '0.470214', '0.465116', '0.399516', '0.601867', '0.591389', '0:00:57']
['111/200', '0.540043', '0.461466', '0.454459', '0.412320', '0.589254', '0.577255', '0:00:57']
['112/200', '0.529861', '0.471876', '0.463730', '0.436951', '0.564488', '0.544008', '0:00:57']
['113/200', '0.532483', '0.469090', '0.460064', '0.381156', '0.620044', '0.612261', '0:00:58']
['114/200', '0.532393', '0.469162', '0.461782', '0.385468', '0.616102', '0.600598', '0:00:57']
['115/200', '0.530560', '0.471073', '0.464153', '0.459904', '0.542701', '0.529130', '0:00:57']
['116/200', '0.523744', '0.477835', '0.470216', '0.403303', '0.598124', '0.585351', '0:01:00']
['117/200', '0.526560', '0.475115', '0.466438', '0.399287', '0.602144', '0.588401', '0:00:58']
['118/200', '0.538582', '0.462907', '0.455709', '0.380942', '0.621005', '0.602705', '0:00:58']
['119/200', '0.532713', '0.469019', '0.460909', '0.456205', '0.545799', '0.549607', '0:00:57']
['120/200', '0.529368', '0.472433', '0.465398', '0.438490', '0.563805', '0.557632', '0:00:57']
['121/200', '0.524411', '0.477312', '0.469686', '0.365026', '0.636695', '0.621283', '0:00:58']
['122/200', '0.510116', '0.491792', '0.481898', '0.423867', '0.578184', '0.566943', '0:00:58']
['123/200', '0.523037', '0.478703', '0.471329', '0.405759', '0.596424', '0.586151', '0:00:58']
['124/200', '0.519865', '0.481805', '0.474030', '0.412471', '0.588932', '0.576604', '0:00:58']
['125/200', '0.521833', '0.480093', '0.470241', '0.409577', '0.592427', '0.581027', '0:00:57']
['126/200', '0.520663', '0.481170', '0.474548', '0.396443', '0.605499', '0.594999', '0:00:57']
['127/200', '0.525637', '0.476284', '0.465781', '0.405231', '0.596774', '0.574929', '0:00:58']
['128/200', '0.515161', '0.486676', '0.479719', '0.402103', '0.599992', '0.586448', '0:00:57']
['129/200', '0.506682', '0.495209', '0.487482', '0.390164', '0.612436', '0.590602', '0:00:58']
['130/200', '0.507415', '0.494507', '0.486646', '0.360131', '0.641625', '0.619243', '0:00:57']
['131/200', '0.522182', '0.479832', '0.473429', '0.371203', '0.631332', '0.604779', '0:00:58']
['132/200', '0.517799', '0.483846', '0.475163', '0.412935', '0.588985', '0.576476', '0:00:57']
['133/200', '0.510040', '0.491932', '0.484363', '0.391734', '0.610286', '0.586404', '0:00:57']
['134/200', '0.510591', '0.491191', '0.484196', '0.407454', '0.594478', '0.581075', '0:00:57']
['135/200', '0.507489', '0.494368', '0.485048', '0.420843', '0.581630', '0.581043', '0:00:58']
['136/200', '0.503310', '0.498740', '0.489005', '0.345829', '0.655863', '0.642298', '0:00:58']
['137/200', '0.512291', '0.489633', '0.482731', '0.370693', '0.631331', '0.618446', '0:00:57']
