['66/200', '0.591822', '0.408288', '0.408696', '0.513784', '0.486401', '0.486728', '0:01:11']
['67/200', '0.586999', '0.413101', '0.413063', '0.486145', '0.514135', '0.517099', '0:01:11']
['68/200', '0.591512', '0.408595', '0.408729', '0.540030', '0.460349', '0.464620', '0:01:11']
['69/200', '0.595564', '0.404538', '0.404017', '0.488203', '0.511893', '0.510633', '0:01:12']
['70/200', '0.584568', '0.415545', '0.415223', '0.490004', '0.510162', '0.508050', '0:01:12']
['71/200', '0.578595', '0.421539', '0.421817', '0.463544', '0.536547', '0.535800', '0:01:11']
['72/200', '0.581516', '0.418590', '0.418530', '0.474660', '0.525450', '0.527324', '0:01:11']
['73/200', '0.566666', '0.433476', '0.433489', '0.483969', '0.516249', '0.516581', '0:01:12']
['74/200', '0.568984', '0.431138', '0.431063', '0.522623', '0.477617', '0.478897', '0:01:11']
['75/200', '0.572541', '0.427638', '0.427253', '0.459157', '0.541082', '0.538324', '0:01:11']
['76/200', '0.575319', '0.424841', '0.424613', '0.492567', '0.507603', '0.507010', '0:01:12']
['77/200', '0.581253', '0.418885', '0.418929', '0.551492', '0.448894', '0.451517', '0:01:12']
['78/200', '0.575552', '0.424575', '0.424010', '0.505584', '0.494712', '0.489046', '0:01:12']
['79/200', '0.578515', '0.421655', '0.422258', '0.480291', '0.519808', '0.518179', '0:01:11']
['80/200', '0.572719', '0.427444', '0.427185', '0.478325', '0.521830', '0.520001', '0:01:17']
['81/200', '0.570675', '0.429468', '0.429019', '0.504582', '0.495576', '0.496173', '0:01:12']
['82/200', '0.564751', '0.435415', '0.435875', '0.469425', '0.530692', '0.528849', '0:01:11']
['83/200', '0.570838', '0.429395', '0.428780', '0.473709', '0.526493', '0.527303', '0:01:11']
['84/200', '0.567491', '0.432684', '0.432102', '0.472287', '0.527896', '0.528670', '0:01:11']
['85/200', '0.556153', '0.443999', '0.443828', '0.477645', '0.522825', '0.525442', '0:01:12']
['86/200', '0.570625', '0.429546', '0.428882', '0.485845', '0.514412', '0.512269', '0:01:12']
['87/200', '0.560651', '0.439551', '0.439486', '0.449996', '0.550139', '0.548987', '0:01:11']
['88/200', '0.556039', '0.444128', '0.444326', '0.454372', '0.545765', '0.544723', '0:01:11']
['89/200', '0.551170', '0.448992', '0.448825', '0.480787', '0.519378', '0.520016', '0:01:12']
['90/200', '0.544919', '0.455264', '0.454759', '0.552045', '0.448066', '0.451938', '0:01:12']
['91/200', '0.560515', '0.439749', '0.439002', '0.474558', '0.525647', '0.526246', '0:01:11']
['92/200', '0.552937', '0.447264', '0.446351', '0.465685', '0.534437', '0.532506', '0:01:12']
['93/200', '0.559336', '0.440875', '0.439851', '0.541680', '0.458735', '0.461287', '0:01:11']
['94/200', '0.528436', '0.471749', '0.471455', '0.438617', '0.561592', '0.561763', '0:01:12']
['95/200', '0.544413', '0.455805', '0.454945', '0.440249', '0.560249', '0.558588', '0:01:11']
['96/200', '0.545332', '0.454979', '0.453851', '0.449084', '0.551265', '0.551952', '0:01:13']
['97/200', '0.533256', '0.467042', '0.466215', '0.446378', '0.553945', '0.554290', '0:01:13']
['98/200', '0.541982', '0.458330', '0.457765', '0.471161', '0.529373', '0.523974', '0:01:11']
['99/200', '0.542556', '0.457771', '0.457330', '0.446169', '0.554118', '0.554447', '0:01:11']
['100/200', '0.529592', '0.470644', '0.469798', '0.411772', '0.588449', '0.587637', '0:01:12']
['101/200', '0.538095', '0.462139', '0.461818', '0.431967', '0.568221', '0.565052', '0:01:11']
['102/200', '0.535312', '0.464933', '0.464603', '0.452132', '0.548391', '0.551856', '0:01:11']
['103/200', '0.533577', '0.466669', '0.466532', '0.418762', '0.581487', '0.580514', '0:01:11']
['104/200', '0.546019', '0.454244', '0.453445', '0.464658', '0.535783', '0.536852', '0:01:12']
['105/200', '0.542716', '0.457535', '0.456115', '0.442834', '0.557357', '0.557372', '0:01:13']
['106/200', '0.525901', '0.474381', '0.473811', '0.438080', '0.562331', '0.561920', '0:01:11']
['107/200', '0.542452', '0.457885', '0.457144', '0.456993', '0.543246', '0.539250', '0:01:12']
['108/200', '0.529769', '0.470543', '0.469333', '0.425272', '0.574937', '0.573281', '0:01:12']
['109/200', '0.517776', '0.482497', '0.481808', '0.414829', '0.585488', '0.584737', '0:01:11']
['110/200', '0.523287', '0.476996', '0.476182', '0.409366', '0.590950', '0.588962', '0:01:13']
['111/200', '0.514060', '0.486219', '0.485729', '0.413894', '0.586356', '0.587845', '0:01:12']
['112/200', '0.520498', '0.479835', '0.478898', '0.416272', '0.584009', '0.583806', '0:01:13']
['113/200', '0.529862', '0.470453', '0.468890', '0.418180', '0.582098', '0.580494', '0:01:12']
['114/200', '0.527358', '0.473026', '0.471609', '0.436000', '0.564390', '0.564395', '0:01:11']
['115/200', '0.515891', '0.484451', '0.484338', '0.421049', '0.579224', '0.575572', '0:01:14']
['116/200', '0.527259', '0.473085', '0.472235', '0.408117', '0.592146', '0.589313', '0:01:12']
['117/200', '0.523620', '0.476708', '0.476647', '0.401267', '0.598994', '0.596698', '0:01:14']
['118/200', '0.516989', '0.483355', '0.483387', '0.395631', '0.604601', '0.601403', '0:01:11']
['119/200', '0.503858', '0.496467', '0.496133', '0.417119', '0.583227', '0.583328', '0:01:11']
['120/200', '0.514928', '0.485391', '0.484757', '0.426260', '0.574273', '0.577402', '0:01:11']
['121/200', '0.509463', '0.490883', '0.490781', '0.399641', '0.600617', '0.600883', '0:01:12']
['122/200', '0.526349', '0.474018', '0.473337', '0.439529', '0.560826', '0.560632', '0:01:11']
