['66/200', '0.608153', '0.392387', '0.389476', '0.468037', '0.532360', '0.532463', '0:00:58']
['67/200', '0.609968', '0.390638', '0.387933', '0.502300', '0.498350', '0.501413', '0:00:57']
['68/200', '0.606860', '0.393823', '0.390355', '0.537518', '0.463026', '0.461617', '0:00:57']
['69/200', '0.593876', '0.406681', '0.403612', '0.502904', '0.497465', '0.492055', '0:00:58']
['70/200', '0.605560', '0.395121', '0.391376', '0.523146', '0.477311', '0.479120', '0:00:58']
['71/200', '0.604110', '0.396448', '0.393050', '0.509200', '0.491502', '0.496238', '0:01:00']
['72/200', '0.589503', '0.411140', '0.407750', '0.490455', '0.510123', '0.509557', '0:00:58']
['73/200', '0.583501', '0.417224', '0.414079', '0.509263', '0.491757', '0.489447', '0:00:57']
['74/200', '0.602025', '0.398713', '0.396368', '0.515602', '0.485142', '0.480915', '0:00:59']
['75/200', '0.595123', '0.405580', '0.403002', '0.475532', '0.525079', '0.517700', '0:00:57']
['76/200', '0.587765', '0.412930', '0.409146', '0.490800', '0.509874', '0.511358', '0:00:58']
['77/200', '0.579888', '0.420747', '0.416519', '0.541940', '0.458771', '0.460479', '0:00:57']
['78/200', '0.571871', '0.428846', '0.424514', '0.516612', '0.483992', '0.487969', '0:00:57']
['79/200', '0.582829', '0.417953', '0.413007', '0.449165', '0.551647', '0.550934', '0:00:57']
['80/200', '0.587812', '0.412926', '0.408753', '0.494771', '0.505996', '0.505077', '0:00:57']
['81/200', '0.584547', '0.416376', '0.411899', '0.449713', '0.550856', '0.540916', '0:00:58']
['82/200', '0.580652', '0.420158', '0.416098', '0.522005', '0.479343', '0.472551', '0:00:57']
['83/200', '0.581626', '0.419154', '0.416546', '0.531605', '0.469350', '0.473295', '0:00:57']
['84/200', '0.566545', '0.434227', '0.429871', '0.449918', '0.550758', '0.548840', '0:00:57']
['85/200', '0.572571', '0.428171', '0.424318', '0.501427', '0.499282', '0.506775', '0:00:57']
['86/200', '0.587001', '0.414453', '0.411012', '0.680705', '0.380743', '0.498919', '0:00:58']
['87/200', '0.580248', '0.421104', '0.417153', '0.468962', '0.531978', '0.528509', '0:00:57']
['88/200', '0.575467', '0.425429', '0.423696', '0.465175', '0.535461', '0.529704', '0:00:57']
['89/200', '0.555668', '0.445132', '0.441210', '0.486143', '0.514622', '0.514293', '0:00:57']
['90/200', '0.565278', '0.435609', '0.428822', '0.517233', '0.483935', '0.483901', '0:00:57']
