['1/200', '0.959876', '0.040123', '0.036992', '0.948853', '0.051147', '0.047080', '0:01:14']
['2/200', '0.945384', '0.054616', '0.044993', '0.941479', '0.058521', '0.051481', '0:01:11']
['3/200', '0.933775', '0.066487', '0.058353', '0.932171', '0.068137', '0.049912', '0:01:12']
['4/200', '0.917376', '0.082860', '0.075443', '0.928222', '0.072309', '0.073379', '0:01:12']
['5/200', '0.900677', '0.099753', '0.089309', '0.915301', '0.085159', '0.090007', '0:01:12']
['6/200', '0.872435', '0.128072', '0.113342', '0.870514', '0.130494', '0.128908', '0:01:13']
['7/200', '0.830915', '0.169685', '0.147377', '0.853585', '0.147749', '0.146840', '0:01:12']
['8/200', '0.795120', '0.205525', '0.182759', '0.805204', '0.195863', '0.183007', '0:01:12']
['9/200', '0.750766', '0.249627', '0.226899', '0.809483', '0.193741', '0.226159', '0:01:12']
['10/200', '0.723659', '0.276779', '0.258608', '0.666974', '0.333492', '0.295007', '0:01:13']
['11/200', '0.719369', '0.281054', '0.270160', '0.724797', '0.275612', '0.268784', '0:01:13']
['12/200', '0.777933', '0.222679', '0.214564', '0.602342', '0.398288', '0.343578', '0:01:12']
['13/200', '0.722957', '0.277587', '0.265959', '0.637368', '0.363654', '0.385987', '0:01:13']
['14/200', '0.713663', '0.286937', '0.275774', '0.641441', '0.359332', '0.352138', '0:01:12']
['15/200', '0.713806', '0.286526', '0.280668', '0.612963', '0.387177', '0.380733', '0:01:13']
['16/200', '0.705620', '0.294783', '0.287014', '0.567535', '0.432613', '0.430342', '0:01:12']
['17/200', '0.695341', '0.304945', '0.301443', '0.706936', '0.293592', '0.290092', '0:01:12']
['18/200', '0.715675', '0.284829', '0.281157', '0.801509', '0.203464', '0.241438', '0:01:13']
['19/200', '0.684879', '0.315414', '0.310285', '0.636461', '0.363649', '0.362211', '0:01:12']
['20/200', '0.674350', '0.325921', '0.322540', '0.687222', '0.314344', '0.334258', '0:01:12']
['21/200', '0.692018', '0.308247', '0.305885', '0.577863', '0.422360', '0.418012', '0:01:12']
['22/200', '0.678498', '0.321788', '0.319110', '0.742877', '0.258261', '0.269167', '0:01:12']
['23/200', '0.666149', '0.334111', '0.331680', '0.622230', '0.378246', '0.374214', '0:01:12']
['24/200', '0.666408', '0.333861', '0.330209', '0.635197', '0.365319', '0.376789', '0:01:12']
['25/200', '0.667904', '0.332450', '0.330587', '0.650603', '0.350072', '0.330418', '0:01:13']
['26/200', '0.669502', '0.330771', '0.327698', '0.591371', '0.408746', '0.412629', '0:01:12']
['27/200', '0.658294', '0.341988', '0.338282', '0.658900', '0.341440', '0.354127', '0:01:13']
['28/200', '0.660631', '0.339698', '0.338202', '0.700526', '0.299677', '0.274721', '0:01:12']
['29/200', '0.638823', '0.361513', '0.357776', '0.635295', '0.365566', '0.377374', '0:01:12']
['30/200', '0.639082', '0.361234', '0.357296', '0.758432', '0.243656', '0.218411', '0:01:12']
['31/200', '0.643301', '0.357142', '0.354254', '0.587450', '0.412763', '0.416279', '0:01:12']
['32/200', '0.644378', '0.355912', '0.351756', '0.575583', '0.424681', '0.419718', '0:01:12']
['33/200', '0.640758', '0.359563', '0.356272', '0.564593', '0.435565', '0.434486', '0:01:12']
['34/200', '0.657134', '0.343323', '0.339786', '0.589578', '0.410751', '0.407767', '0:01:12']
['35/200', '0.648558', '0.351866', '0.347962', '0.660758', '0.339684', '0.354003', '0:01:12']
['36/200', '0.627746', '0.372703', '0.370338', '0.701788', '0.299254', '0.280810', '0:01:12']
['37/200', '0.644919', '0.355486', '0.350624', '0.540471', '0.459971', '0.454185', '0:01:12']
['38/200', '0.626879', '0.373484', '0.369879', '0.690232', '0.311323', '0.290269', '0:01:12']
['39/200', '0.649745', '0.350722', '0.347467', '0.564149', '0.436264', '0.426042', '0:01:12']
['40/200', '0.636345', '0.364119', '0.361330', '0.582811', '0.417585', '0.389566', '0:01:13']
['41/200', '0.636440', '0.364055', '0.360903', '0.591698', '0.408688', '0.406738', '0:01:12']
['42/200', '0.620963', '0.379612', '0.376853', '0.548506', '0.451885', '0.462658', '0:01:12']
['43/200', '0.633529', '0.367091', '0.361929', '0.616101', '0.385125', '0.368571', '0:01:12']
['44/200', '0.619647', '0.380846', '0.377471', '0.659509', '0.341845', '0.344998', '0:01:12']
['45/200', '0.634350', '0.366354', '0.360306', '0.684678', '0.316821', '0.331899', '0:01:12']
['46/200', '0.628107', '0.372467', '0.369537', '0.620414', '0.380260', '0.377596', '0:01:12']
['47/200', '0.634685', '0.366020', '0.362711', '0.622743', '0.379300', '0.345332', '0:01:13']
['48/200', '0.621329', '0.379278', '0.373845', '0.583666', '0.417064', '0.428872', '0:01:12']
['49/200', '0.615429', '0.385303', '0.380599', '0.615865', '0.384959', '0.381067', '0:01:12']
['50/200', '0.621569', '0.379142', '0.374091', '0.594277', '0.406334', '0.403329', '0:01:13']
['51/200', '0.610184', '0.390543', '0.388004', '0.611061', '0.389445', '0.378869', '0:01:13']
['52/200', '0.607442', '0.393186', '0.388074', '0.574070', '0.426368', '0.422080', '0:01:13']
['53/200', '0.612889', '0.387889', '0.382364', '0.541525', '0.458929', '0.447376', '0:01:12']
['54/200', '0.612823', '0.387826', '0.383606', '0.580208', '0.421448', '0.425375', '0:01:14']
['55/200', '0.606796', '0.394019', '0.389774', '0.538249', '0.462346', '0.455154', '0:01:13']
['56/200', '0.601122', '0.399681', '0.392624', '0.631391', '0.369933', '0.372367', '0:01:12']
['57/200', '0.608135', '0.392583', '0.387218', '0.623016', '0.377539', '0.369248', '0:01:12']
['58/200', '0.616216', '0.384732', '0.379370', '0.619896', '0.380621', '0.362944', '0:01:14']
['59/200', '0.616391', '0.384316', '0.380337', '0.634680', '0.366410', '0.355589', '0:01:13']
['60/200', '0.597392', '0.403352', '0.400501', '0.579315', '0.422215', '0.430901', '0:01:14']
['61/200', '0.597868', '0.403049', '0.394985', '0.617160', '0.383566', '0.383129', '0:01:12']
['62/200', '0.605877', '0.395073', '0.388588', '0.607895', '0.393804', '0.385136', '0:01:12']
['63/200', '0.585869', '0.415053', '0.409532', '0.557217', '0.444603', '0.447959', '0:01:12']
['64/200', '0.595698', '0.405263', '0.399972', '0.546406', '0.454699', '0.461160', '0:01:12']
['65/200', '0.595953', '0.405159', '0.397225', '0.649044', '0.355254', '0.334282', '0:01:12']
['66/200', '0.605422', '0.395531', '0.392329', '0.616205', '0.384320', '0.361914', '0:01:12']
['67/200', '0.593146', '0.407874', '0.402961', '0.564902', '0.436091', '0.435304', '0:01:12']
['68/200', '0.596985', '0.403969', '0.398041', '0.565394', '0.435932', '0.420665', '0:01:12']
['69/200', '0.593131', '0.407864', '0.400001', '0.634733', '0.367972', '0.355406', '0:01:12']
['70/200', '0.589336', '0.411762', '0.405833', '0.569687', '0.431300', '0.430861', '0:01:12']
['71/200', '0.575021', '0.425933', '0.419243', '0.616364', '0.385261', '0.348376', '0:01:12']
